time_step,bus_id,vm_pu
0,0,1.004134189824184
0,1,0.9903166748243856
0,2,0.9848925624311805
0,3,0.9649470691385582
0,4,0.9670044264398524
0,5,0.9474177932132162
0,6,0.9464023783665955
0,7,0.9309171245304044
0,8,0.9378344208861918
0,9,0.9354758370060201
0,10,0.9261696786345907
0,11,0.9322109053766442
0,12,0.9201846598487298
0,13,0.9202671725622996
0,14,0.916358946606875
0,15,0.9180914509735383
0,16,0.9119663034055424
0,17,0.9202830393045512
0,18,1.0033242379565641
0,19,0.9886721130619167
0,20,0.9909772670169904
0,21,0.9880821545421029
0,22,0.9798353292093493
0,23,0.9747684333296442
0,24,0.967567082584198
0,25,0.9530254732565127
0,26,0.9492834455400951
0,27,0.9448792301193654
0,28,0.9215133870413001
0,29,0.9239355701297519
0,30,0.9223376621902043
0,31,0.9128079510326258
0,32,0.9166469949921499
1,0,0.999660799584116
1,1,0.9950981546285158
1,2,0.9774418146296436
1,3,0.9754816205115188
1,4,0.9778126125455088
1,5,0.9515436139756901
1,6,0.950542545481717
1,7,0.9362984852256506
1,8,0.9374687592643975
1,9,0.9305869292254226
1,10,0.9265724120885902
1,11,0.9287579755552662
1,12,0.9226571490859506
1,13,0.9205798845216028
1,14,0.9167004512883951
1,15,0.9162122793711007
1,16,0.9151496246616223
1,17,0.913502005312927
1,18,0.9888153288579271
1,19,0.9912285558230846
1,20,0.9911311361247732
1,21,1.0024446644541816
1,22,0.9837848113296949
1,23,0.9766054343514845
1,24,0.965592614062557
1,25,0.9556398438689652
1,26,0.9437899343371984
1,27,0.934491623980884
1,28,0.9320950530879099
1,29,0.9163365225961307
1,30,0.920293732690103
1,31,0.924536208454883
1,32,0.92119623897543
2,0,1.0026651967614173
2,1,0.9940933207306435
2,2,0.985683164427642
2,3,0.9813579993113689
2,4,0.9642164651028408
2,5,0.9565313083756443
2,6,0.9501892009541444
2,7,0.9380134789515131
2,8,0.9351210804748384
2,9,0.9344088021763981
2,10,0.9255341000004638
2,11,0.9177953169692185
2,12,0.9148614020870255
2,13,0.9082163235085297
2,14,0.9112323170653177
2,15,0.9137415814165033
2,16,0.9055474969726123
2,17,0.909248303941193
2,18,0.9967009497365332
2,19,1.0021761191724274
2,20,0.9910623127358472
2,21,0.9933684530401133
2,22,0.9827129460473086
2,23,0.9676431996085352
2,24,0.9628164777231908
2,25,0.944457086713221
2,26,0.9421330114768701
2,27,0.9359616704674417
2,28,0.9205942481291256
2,29,0.9127955001384732
2,30,0.9215404424127516
2,31,0.9080474501206764
2,32,0.923656384921654
3,0,0.9919561254315773
3,1,0.9991174562363314
3,2,0.9912148722242352
3,3,0.9734753714846787
3,4,0.9757537264554049
3,5,0.9470404487290809
3,6,0.9512634584300211
3,7,0.9373295992419054
3,8,0.9282494534090163
3,9,0.9229506007730802
3,10,0.9277557990265457
3,11,0.9302757260686342
3,12,0.912790009418404
3,13,0.9158556368775815
3,14,0.9125973762830379
3,15,0.9136312437398745
3,16,0.9107898566864767
3,17,0.9110278754729367
3,18,0.999189289683132
3,19,0.9897403269562338
3,20,0.9926685931656006
3,21,0.9821949735133384
3,22,0.9755908502621149
3,23,0.9723971300799417
3,24,0.9700955755062702
3,25,0.9432392149955546
3,26,0.9491426116945858
3,27,0.9327854339798768
3,28,0.9230147008705699
3,29,0.9085552793675851
3,30,0.9173715053935629
3,31,0.9166128934549196
3,32,0.91327747411862
4,0,1.0058579677544544
4,1,0.9971465986283363
4,2,0.9811677215436421
4,3,0.96446532519302
4,4,0.9634478584008435
4,5,0.9478155662610257
4,6,0.9398147428342334
4,7,0.9319449894906168
4,8,0.9379613609487785
4,9,0.9190464190449386
4,10,0.9220661527695803
4,11,0.9174669598146052
4,12,0.9205861406601272
4,13,0.9133339423984732
4,14,0.9090896393607801
4,15,0.9096171758896394
4,16,0.9062343730774218
4,17,0.9010643761364517
4,18,0.9951739406782756
4,19,0.9958795852197746
4,20,0.9957998741604466
4,21,0.9982639981895777
4,22,0.9831725460016669
4,23,0.9745968789965422
4,24,0.9592071363663686
4,25,0.9522813440426646
